UniProt_Accession_for_Protein_Group	UniProt_ID_for_Protein_Group	UniProt_Protein_Description	Quantified_Peptides_Experiment_1	Quantified_Peptides_Experiment_1.1	Quantified_PSMs_(Rep_1)_Experiment_1	Quantified_PSMs_(Rep_1)_Experiment_1.1	126	127N	127C	128N	128C	129N	129C	130N	130C	131	126.1	127N.1	127C.1	128N.1	128C.1	129N.1	129C.1	130N.1	130C.1	131.1	phenoDisco_Input	phenoDisco_Output	Curated_phenoDisco_Output	SVM_marker_set	SVM_classification	SVM_score	SVM_classification_(top_quartile)	Final_Localization_Assignment	First_localization_evidence?	Curated_Organelles	Cytoskeletal_Components	Trafficking_Proteins	Protein_Complexes	Signaling_Cascades	Oct4_Interactome	Nanog_Interactome	Sox2_Interactome	Cell_Surface_Proteins	uniprot_id	isoforms	max_fraction	min_difference	mean_expression	length	classified	low_fraction	AS	temp_binary
Q9JHU4	DYHC1_MOUSE	Cytoplasmic dynein 1 heavy chain 1 OS=Mus musculus GN=Dync1h1 PE=1 SV=2 - [DYHC1_MOUSE]	175	166	322	273	0.028	0.034	0.024	0.014	0.026	0.045	0.107	0.341	0.059	0.321	0.037	0.064	0.058	0.059	0.067	0.078	0.14	0.208	0.141	0.147	unknown	unknown	unknown	unknown	Peroxisome	0.303	unclassified	unclassified	N		Dynein		Dynein						Q9JHU4	1	1.0		7.9915189905	4644	False	False	False	False
Q9QXS1-3	PLEC_MOUSE	Isoform PLEC-1 of Plectin OS=Mus musculus GN=Plec - [PLEC_MOUSE]|Isoform PLEC-1A of Plectin OS=Mus musculus GN=Plec - [PLEC_MOUSE]	123	150	174	198	0.039	0.134	0.095	0.053	0.084	0.121	0.107	0.128	0.122	0.117	0.033	0.073	0.074	0.062	0.081	0.142	0.19	0.069	0.151	0.125	unknown	unknown	unknown	unknown	60S Ribosome	0.223	unclassified	unclassified	N										Q9QXS1	9	0.399076762584	0.4189736616	3.6366259535	4691	False	True	True	False
Q9ERU9	RBP2_MOUSE	E3 SUMO-protein ligase RanBP2 OS=Mus musculus GN=Ranbp2 PE=1 SV=2 - [RBP2_MOUSE]	101	90	181	129	0.021	0.013	0.014	0.009	0.024	0.054	0.116	0.257	0.209	0.284	0.026	0.017	0.023	0.029	0.039	0.071	0.105	0.171	0.304	0.215	unknown	Phenotype 10	unknown	unknown	Nucleus - Chromatin	0.737	unclassified	Nucleus - Chromatin	N							Prey	Prey		Q9ERU9	1	1.0		25.81359926	3053	True	False	False	False
P26039	TLN1_MOUSE	Talin-1 OS=Mus musculus GN=Tln1 PE=1 SV=2 - [TLN1_MOUSE]	101	94	167	146	0.12	0.255	0.148	0.091	0.135	0.095	0.041	0.057	0.014	0.043	0.111	0.181	0.141	0.144	0.152	0.119	0.075	0.028	0.017	0.033	unknown	Phenotype 9	Actin cytoskeleton	Actin cytoskeleton	Actin cytoskeleton	1.0	Actin cytoskeleton	Actin cytoskeleton	N										P26039	1	1.0		14.2680753795	2541	True	False	False	False
A2ARV4	LRP2_MOUSE	Low-density lipoprotein receptor-related protein 2 OS=Mus musculus GN=Lrp2 PE=1 SV=1 - [LRP2_MOUSE]	85	97	119	150	0.0	0.085	0.223	0.166	0.292	0.107	0.041	0.051	0.0	0.036	0.003	0.054	0.147	0.257	0.291	0.143	0.064	0.028	0.005	0.008	unknown	unknown	unknown	unknown	Lysosome	0.681	unclassified	unclassified	N										A2ARV4	1	1.0		6.792409672	4660	False	False	False	False
Q68FD5	CLH1_MOUSE	Clathrin heavy chain 1 OS=Mus musculus GN=Cltc PE=1 SV=3 - [CLH1_MOUSE]	80	68	156	157	0.131	0.173	0.106	0.065	0.128	0.182	0.095	0.044	0.046	0.031	0.117	0.11	0.109	0.1	0.13	0.185	0.133	0.041	0.044	0.032	unknown	unknown	unknown	unknown	Endoplasmic reticulum/Golgi apparatus	0.273	unclassified	unclassified	N	Vesicles - Clathrin								High Confidence	Q68FD5	1	1.0		111.960903481	1675	False	False	False	False
Q07113	MPRI_MOUSE	Cation-independent mannose-6-phosphate receptor OS=Mus musculus GN=Igf2r PE=1 SV=1 - [MPRI_MOUSE]	75	75	152	142	0.0	0.026	0.078	0.101	0.398	0.267	0.062	0.041	0.004	0.024	0.002	0.026	0.056	0.14	0.312	0.311	0.098	0.038	0.009	0.008	unknown	unknown	unknown	unknown	Endosome	0.322	unclassified	unclassified	N										Q07113	1	1.0		6.9832196335	2483	False	False	False	False
Q99PL5	RRBP1_MOUSE	Ribosome-binding protein 1 OS=Mus musculus GN=Rrbp1 PE=2 SV=2 - [RRBP1_MOUSE]	74	75	152	185	0.009	0.029	0.036	0.025	0.078	0.27	0.212	0.17	0.036	0.134	0.01	0.033	0.057	0.07	0.118	0.27	0.223	0.118	0.056	0.046	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	1.0	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	N										Q99PL5	2	0.929170766011	0.0762284356971	15.2392408045	1605	True	False	False	False
Q8VDD5	MYH9_MOUSE	Myosin-9 OS=Mus musculus GN=Myh9 PE=1 SV=4 - [MYH9_MOUSE]	74	67	135	134	0.098	0.09	0.058	0.031	0.056	0.116	0.148	0.197	0.036	0.169	0.114	0.074	0.072	0.07	0.083	0.188	0.203	0.12	0.039	0.038	unknown	unknown	unknown	unknown	Endoplasmic reticulum/Golgi apparatus	0.366	unclassified	unclassified	N		Myosin							High Confidence	Q8VDD5	1	1.0		15.985262382	1960	False	False	False	False
Q6PB66	LPPRC_MOUSE	Leucine-rich PPR motif-containing protein, mitochondrial OS=Mus musculus GN=Lrpprc PE=1 SV=2 - [LPPRC_MOUSE]	71	61	148	128	0.0	0.01	0.01	0.012	0.031	0.085	0.249	0.293	0.041	0.268	0.001	0.011	0.015	0.02	0.029	0.096	0.353	0.294	0.048	0.133	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	1.0	Mitochondrion	Mitochondrion	N										Q6PB66	1	1.0		51.2083714725	1392	True	False	False	False
Q99PV0	PRP8_MOUSE	Pre-mRNA-processing-splicing factor 8 OS=Mus musculus GN=Prpf8 PE=1 SV=2 - [PRP8_MOUSE]	71	73	105	108	0.202	0.013	0.026	0.007	0.019	0.022	0.034	0.112	0.311	0.254	0.134	0.016	0.023	0.018	0.024	0.028	0.034	0.032	0.264	0.426	unknown	unknown	unknown	unknown	Nucleus - Non-chromatin	0.821	unclassified	Nucleus - Non-chromatin	N				Spliceosome						Q99PV0	1	1.0		81.276306921	2335	True	False	False	False
P11276	FINC_MOUSE	Fibronectin OS=Mus musculus GN=Fn1 PE=1 SV=4 - [FINC_MOUSE]	64	52	100	80	0.0	0.049	0.13	0.104	0.237	0.154	0.099	0.103	0.039	0.085	0.004	0.046	0.094	0.158	0.235	0.181	0.14	0.066	0.053	0.022	unknown	Phenotype 8	unknown	Extracellular matrix	Extracellular matrix	1.0	Extracellular matrix	Extracellular matrix	N										P11276	1	1.0		27.654949358	2477	True	False	False	False
Q6PR54	RIF1_MOUSE	Telomere-associated protein RIF1 OS=Mus musculus GN=Rif1 PE=1 SV=2 - [RIF1_MOUSE]	62	63	112	102	0.025	0.0	0.003	0.0	0.005	0.031	0.126	0.33	0.184	0.298	0.029	0.005	0.008	0.01	0.019	0.048	0.127	0.244	0.404	0.106	unknown	Phenotype 1	Nucleus - Chromatin	Nucleus - Chromatin	Nucleus - Chromatin	1.0	Nucleus - Chromatin	Nucleus - Chromatin	N					Pluripotency	Prey				Q6PR54	1	1.0		75.5745831415	2419	True	False	False	False
Q05793	PGBM_MOUSE	Basement membrane-specific heparan sulfate proteoglycan core protein OS=Mus musculus GN=Hspg2 PE=1 SV=1 - [PGBM_MOUSE]	61	46	83	62	0.002	0.047	0.11	0.08	0.198	0.195	0.105	0.13	0.022	0.111	0.007	0.049	0.079	0.128	0.214	0.207	0.186	0.069	0.028	0.032	unknown	Endoplasmic reticulum/Golgi apparatus	unknown	Extracellular matrix	Extracellular matrix	1.0	Extracellular matrix	Extracellular matrix	N									High Confidence	Q05793	1	1.0		6.7246736975	3707	True	False	False	False
Q71LX4	TLN2_MOUSE	Talin-2 OS=Mus musculus GN=Tln2 PE=1 SV=3 - [TLN2_MOUSE]	60	72	93	112	0.018	0.276	0.159	0.105	0.145	0.109	0.052	0.061	0.023	0.052	0.016	0.198	0.151	0.161	0.157	0.158	0.081	0.037	0.019	0.021	unknown	unknown	unknown	unknown	Plasma membrane	0.782	unclassified	Plasma membrane	N										Q71LX4	1	1.0		4.972406456	2375	True	False	False	False
P19096	FAS_MOUSE	Fatty acid synthase OS=Mus musculus GN=Fasn PE=1 SV=2 - [FAS_MOUSE]	57	63	96	93	0.454	0.152	0.133	0.064	0.084	0.048	0.021	0.019	0.007	0.018	0.363	0.124	0.123	0.108	0.118	0.069	0.04	0.015	0.014	0.026	unknown	Phenotype 5	Cytosol	Cytosol	Cytosol	1.0	Cytosol	Cytosol	N									High Confidence	P19096	1	1.0		46.910277137	2504	True	False	False	False
Q9WTQ5	AKA12_MOUSE	A-kinase anchor protein 12 OS=Mus musculus GN=Akap12 PE=1 SV=1 - [AKA12_MOUSE]	56	58	114	134	0.159	0.186	0.13	0.075	0.095	0.082	0.099	0.094	0.0	0.079	0.132	0.13	0.129	0.111	0.112	0.106	0.139	0.099	0.006	0.037	unknown	unknown	unknown	unknown	Actin cytoskeleton	0.163	unclassified	unclassified	N										Q9WTQ5	1	1.0		64.117035585	1684	False	False	False	False
Q9JKF1	IQGA1_MOUSE	Ras GTPase-activating-like protein IQGAP1 OS=Mus musculus GN=Iqgap1 PE=1 SV=2 - [IQGA1_MOUSE]	56	61	110	124	0.076	0.328	0.166	0.115	0.152	0.093	0.032	0.018	0.004	0.016	0.078	0.208	0.16	0.16	0.167	0.12	0.059	0.019	0.009	0.021	Plasma membrane	Plasma membrane	Plasma membrane	Plasma membrane	Plasma membrane	1.0	Plasma membrane	Plasma membrane	N										Q9JKF1	1	1.0		5.54339578325	1657	True	False	False	False
Q8CG48	SMC2_MOUSE	Structural maintenance of chromosomes protein 2 OS=Mus musculus GN=Smc2 PE=1 SV=2 - [SMC2_MOUSE]	56	49	106	87	0.082	0.041	0.033	0.018	0.035	0.055	0.102	0.248	0.118	0.269	0.067	0.043	0.05	0.052	0.058	0.078	0.115	0.165	0.177	0.195	unknown	unknown	unknown	unknown	Nucleus - Chromatin	0.235	unclassified	unclassified	N				13S condensin complex						Q8CG48	1	1.0		28.805080181	1191	False	False	False	False
Q9QZQ1-2	AFAD_MOUSE	Isoform 1 of Afadin OS=Mus musculus GN=Mllt4 - [AFAD_MOUSE]	56	65	105	104	0.041	0.3	0.182	0.114	0.158	0.104	0.039	0.027	0.011	0.023	0.035	0.22	0.141	0.151	0.165	0.132	0.082	0.024	0.021	0.029	Plasma membrane	Plasma membrane	Plasma membrane	Plasma membrane	Plasma membrane	1.0	Plasma membrane	Plasma membrane	N										Q9QZQ1	1	1.0		20.172078678	1820	True	False	False	False
Q7TPV4	MBB1A_MOUSE	Myb-binding protein 1A OS=Mus musculus GN=Mybbp1a PE=1 SV=2 - [MBB1A_MOUSE]	55	55	101	100	0.168	0.007	0.018	0.004	0.012	0.019	0.043	0.175	0.345	0.209	0.12	0.009	0.022	0.022	0.026	0.033	0.044	0.05	0.391	0.282	unknown	Phenotype 2	unknown	unknown	Nucleus - Non-chromatin	0.933	Nucleus - Non-chromatin	Nucleus - Non-chromatin	N										Q7TPV4	1	1.0		147.13658286	1344	True	False	False	False
A2AGT5	CKAP5_MOUSE	Cytoskeleton-associated protein 5 OS=Mus musculus GN=Ckap5 PE=2 SV=1 - [CKAP5_MOUSE]	55	53	96	79	0.032	0.04	0.025	0.017	0.029	0.052	0.108	0.322	0.093	0.283	0.044	0.072	0.074	0.071	0.067	0.093	0.11	0.209	0.172	0.088	unknown	unknown	unknown	unknown	Peroxisome	0.21	unclassified	unclassified	N										A2AGT5	2	0.726083138932	0.377252750244	32.588092174	2032	False	True	True	False
Q6NS46	RRP5_MOUSE	Protein RRP5 homolog OS=Mus musculus GN=Pdcd11 PE=2 SV=2 - [RRP5_MOUSE]	54	58	88	92	0.134	0.004	0.015	0.004	0.015	0.021	0.046	0.185	0.35	0.226	0.095	0.012	0.021	0.023	0.03	0.034	0.046	0.049	0.374	0.315	unknown	Phenotype 2	Nucleus - Non-chromatin	Nucleus - Non-chromatin	Nucleus - Non-chromatin	1.0	Nucleus - Non-chromatin	Nucleus - Non-chromatin	N									Putative	Q6NS46	1	1.0		22.377272737	1862	True	False	False	False
Q91ZU6-4	DYST_MOUSE	Isoform 4 of Dystonin OS=Mus musculus GN=Dst - [DYST_MOUSE]	53	90	62	108	0.07	0.131	0.088	0.044	0.066	0.149	0.134	0.125	0.094	0.099	0.053	0.06	0.071	0.07	0.082	0.232	0.199	0.084	0.095	0.054	unknown	unknown	unknown	unknown	Endoplasmic reticulum/Golgi apparatus	0.52	unclassified	unclassified	N										Q91ZU6	2	0.860096493155	0.162660245633	7.778826761	7393	False	True	True	False
Q61879	MYH10_MOUSE	Myosin-10 OS=Mus musculus GN=Myh10 PE=1 SV=2 - [MYH10_MOUSE]	52	62	88	104	0.061	0.079	0.055	0.033	0.054	0.158	0.18	0.168	0.068	0.145	0.065	0.058	0.062	0.062	0.08	0.235	0.241	0.105	0.059	0.031	unknown	unknown	unknown	unknown	Endoplasmic reticulum/Golgi apparatus	0.57	unclassified	unclassified	N		Myosin								Q61879	1	1.0		8.9581489305	1976	False	False	False	False
P54276	MSH6_MOUSE	DNA mismatch repair protein Msh6 OS=Mus musculus GN=Msh6 PE=1 SV=3 - [MSH6_MOUSE]	51	47	106	89	0.149	0.006	0.015	0.003	0.009	0.027	0.106	0.306	0.101	0.278	0.231	0.017	0.033	0.025	0.031	0.056	0.109	0.192	0.194	0.112	unknown	unknown	unknown	unknown	Nucleus - Chromatin	0.46	unclassified	unclassified	N							Prey			P54276	1	1.0		148.762949528	1358	False	False	False	False
Q9CU62	SMC1A_MOUSE	Structural maintenance of chromosomes protein 1A OS=Mus musculus GN=Smc1a PE=1 SV=4 - [SMC1A_MOUSE]	50	43	94	72	0.048	0.007	0.008	0.003	0.012	0.032	0.111	0.282	0.225	0.272	0.06	0.012	0.017	0.017	0.024	0.045	0.092	0.174	0.4	0.159	unknown	Phenotype 1	Nucleus - Chromatin	Nucleus - Chromatin	Nucleus - Chromatin	1.0	Nucleus - Chromatin	Nucleus - Chromatin	N				Cohesin complex		Prey				Q9CU62	1	1.0		20.5198500435	1233	True	False	False	False
Q6P5E4	UGGG1_MOUSE	UDP-glucose:glycoprotein glucosyltransferase 1 OS=Mus musculus GN=Uggt1 PE=1 SV=4 - [UGGG1_MOUSE]	49	53	88	90	0.027	0.058	0.062	0.048	0.146	0.253	0.139	0.15	0.0	0.118	0.027	0.049	0.09	0.126	0.19	0.264	0.151	0.078	0.007	0.019	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	1.0	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	N										Q6P5E4	1	1.0		13.6349725655	1551	True	False	False	False
O88307	SORL_MOUSE	Sortilin-related receptor OS=Mus musculus GN=Sorl1 PE=2 SV=3 - [SORL_MOUSE]	49	45	79	56	0.0	0.026	0.102	0.13	0.449	0.182	0.052	0.036	0.0	0.023	0.003	0.032	0.064	0.159	0.362	0.239	0.09	0.034	0.008	0.009	unknown	unknown	unknown	unknown	Endosome	0.452	unclassified	unclassified	N										O88307	1	1.0		11.568364225	2215	False	False	False	False
P46735	MYO1B_MOUSE	Unconventional myosin-Ib OS=Mus musculus GN=Myo1b PE=2 SV=3 - [MYO1B_MOUSE]	48	42	94	73	0.008	0.318	0.197	0.13	0.185	0.089	0.028	0.017	0.018	0.009	0.013	0.237	0.164	0.167	0.18	0.123	0.067	0.018	0.021	0.008	unknown	Plasma membrane	unknown	unknown	Plasma membrane	0.863	Plasma membrane	Plasma membrane	N		Unconventional Myosin								P46735	2	0.588354577175	0.699655341855	11.6690613077	1107	True	True	True	False
Q01320	TOP2A_MOUSE	DNA topoisomerase 2-alpha OS=Mus musculus GN=Top2a PE=1 SV=2 - [TOP2A_MOUSE]	48	53	92	113	0.011	0.001	0.004	0.001	0.007	0.027	0.106	0.324	0.22	0.299	0.02	0.005	0.007	0.008	0.014	0.044	0.121	0.221	0.471	0.09	unknown	unknown	unknown	unknown	Nucleus - Chromatin	0.901	Nucleus - Chromatin	Nucleus - Chromatin	N								Prey		Q01320	1	1.0		162.13768345	1528	True	False	False	False
Q60767	LY75_MOUSE	Lymphocyte antigen 75 OS=Mus musculus GN=Ly75 PE=1 SV=2 - [LY75_MOUSE]	47	51	86	83	0.0	0.131	0.138	0.118	0.338	0.157	0.058	0.036	0.0	0.024	0.003	0.102	0.107	0.159	0.265	0.217	0.101	0.033	0.007	0.007	unknown	unknown	unknown	unknown	Endosome	0.611	Endosome	Endosome	N										Q60767	1	1.0		12.344221246	1723	True	False	False	False
Q9CW03	SMC3_MOUSE	Structural maintenance of chromosomes protein 3 OS=Mus musculus GN=Smc3 PE=1 SV=2 - [SMC3_MOUSE]	47	44	77	71	0.054	0.017	0.018	0.009	0.019	0.039	0.091	0.274	0.2	0.28	0.06	0.032	0.034	0.034	0.044	0.062	0.112	0.135	0.301	0.186	unknown	unknown	unknown	unknown	Nucleus - Chromatin	0.782	unclassified	Nucleus - Chromatin	N				Cohesin complex			Prey			Q9CW03	1	1.0		27.2751876055	1217	True	False	False	False
P58252	EF2_MOUSE	Elongation factor 2 OS=Mus musculus GN=Eef2 PE=1 SV=2 - [EF2_MOUSE]	46	43	117	113	0.291	0.093	0.091	0.049	0.074	0.075	0.052	0.081	0.029	0.164	0.226	0.067	0.079	0.068	0.077	0.08	0.068	0.04	0.042	0.254	unknown	unknown	unknown	unknown	40S Ribosome	0.453	unclassified	unclassified	N									High Confidence	P58252	1	1.0		507.024592575	858	False	False	False	False
